"","name","value","time"
"1","guardian","Boris Johnson rushes in further restrictions amid Christmas party scandal",2021-12-09 04:01:37
"2","times","Holbein of crime",2021-12-09 04:01:37
"3","dailymail","Thursday, Dec 9th 2021",2021-12-09 04:01:37
"4","independent","There is no evidence whatsoever that the PM <U+2018>shares your anger<U+2019>",2021-12-09 04:01:37
"5","mirror","Boris Johnson facing mounting fury as he brings in Plan B rules while dodging flak for Christmas party - as calls grow for inquiry to include No10 bash he attended",2021-12-09 04:01:37
"6","telegraph","
CHRISTMAS CHARITY APPEAL
",2021-12-09 04:01:37
"7","nytimes","More Than 200 Million Americans Are Fully Vaccinated",2021-12-09 04:01:37
"8","wsj","Pfizer Says Booster Neutralized Omicron Strain in Testing",2021-12-09 04:01:37
"9","usatoday","13 states have a tax on groceries. With inflation spiking, is it time to rethink that?",2021-12-09 04:01:37
"10","washingtonpost","Heiress who is largest known funder of Jan. 6 rally may face public scrutiny",2021-12-09 04:01:37
"11","latimes","This tiny city wants to become the Amsterdam of the far West <U+2014> and Jay-Z seems to approve",2021-12-09 04:01:37
"12","tampabay","Retired Tampa cop shot by Hillsborough deputy was hard of hearing, neighbor says",2021-12-09 04:01:37
"13","heraldsun","Win your share of $10,000",2021-12-09 04:01:37
"14","dailytelegraph","Podcast: Today<U+2019>s Tele headlines",2021-12-09 04:01:37
"15","financialreview","Australia<U+2019>s diesel engines could be crippled in six weeks",2021-12-09 04:01:37
"16","couriermail","Australia<U+2019>s vaccination progress",2021-12-09 04:01:37
"17","westaustralian","breakingLives at risk as fire rages in Margaret River ",2021-12-09 04:01:37
"18","advertiser","Daily quiz: Can you outwit The Shark?",2021-12-09 04:01:37
"19","globeandmail"," Canada joins allies in diplomatic boycott of Beijing Winter Olympics ",2021-12-09 04:01:37
"20","thestar","<U+2018>Wrong side of history<U+2019>: Is Jagmeet Singh<U+2019>s stance on pipelines splitting the NDP?",2021-12-09 04:01:37
"21","nationalpost","Woman dead after daring rescue attempt from car spotted floating at edge of Niagara Falls",2021-12-09 04:01:37
"22","torontosun","MANDEL: 'Completely incorrigible' driver back behind bars",2021-12-09 04:01:37
"23","vancouversun","Vaughn Palmer: 'Never-ending' uncertainty replaces premature COVID-19 victory laps in B.C.",2021-12-09 04:01:37
"24","montrealgazette","Legault insists another inquiry into CHSLD tragedy is not necessary",2021-12-09 04:01:37
"25","nzherald","PM shuts down Facebook commenter during live video",2021-12-09 04:01:37
"26","waikato","
    
        Council moves to 'formally denounce' own chairman over race row comments
    
",2021-12-09 04:01:37
"27","businessreview","
    
      Funder<U+2019>s costs and fees reduce $40m kiwifruit settlement by $15m
    
  ",2021-12-09 04:01:37
"28","gisborneherald","
                        Awapuni mural tells story of mana whenua",2021-12-09 04:01:37
"29","dominionpost","
    
        Timeframe set to strengthen carillon at Wellington's national war memorial
    
",2021-12-09 04:01:37
"30","thepress","
    
        'No place for anti-vaccination messages': Concern over doctor issuing exemptions
    
",2021-12-09 04:01:37
"31","guardian","Three doses of Pfizer likely to protect against Omicron, tests suggest",2021-12-09 04:01:37
"32","times","Deborah Ross",2021-12-09 04:01:37
"33","dailymail","-2<U+00B0>C",2021-12-09 04:01:37
"34","independent","I gave birth alone while Downing Street partied",2021-12-09 04:01:37
"35","mirror","Queen's Palace staff in 'utter dismay' at Downing Street Christmas party scandal",2021-12-09 04:01:37
"36","telegraph","
SIGN UP: FILM NEWSLETTER
",2021-12-09 04:01:37
"37","nytimes","Schools Are Going Online on Fridays. Parents Are Furious.",2021-12-09 04:01:37
"38","wsj","Beijing Reins In China<U+2019>s Central Bank",2021-12-09 04:01:37
"39","usatoday","Teen girls got $100 bills at Epstein estate, Maxwell witness testifies",2021-12-09 04:01:37
"40","washingtonpost","Senate votes to repeal key Biden administration vaccine and testing policy",2021-12-09 04:01:37
"41","latimes","Garcetti<U+2019>s Senate committee nomination hearing scheduled for Tuesday",2021-12-09 04:01:37
"42","tampabay","Ethics panel finds that Nikki Fried may have violated Florida disclosure laws",2021-12-09 04:01:37
"43","heraldsun","Money news to your inbox",2021-12-09 04:01:37
"44","dailytelegraph","Our say: West<U+2019>s stadium of dreams",2021-12-09 04:01:37
"45","financialreview","Choked supply chains may exist <U+2018>for a very long time<U+2019>",2021-12-09 04:01:37
"46","couriermail","Peter Foster<U+2019>s luxurious hide-out",2021-12-09 04:01:37
"47","westaustralian","The West Australianexclusive<U+2018>Predator<U+2019> go-kart coach allowed to stay in sport",2021-12-09 04:01:37
"48","advertiser","New weapon in our arsenal",2021-12-09 04:01:37
"49","globeandmail"," Why Canada and the EU should join the diplomatic boycott of the Beijing Winter Games ",2021-12-09 04:01:37
"50","thestar","Kickbacks. Unauthorized searches. An arson conspiracy: Police documents detail Toronto cop<U+2019>s alleged role in GTA tow truck corruption",2021-12-09 04:01:37
"51","nationalpost","<U+2018>Facial mismatch<U+2019>: U.S. Customs stops unvaccinated woman at Canadian border with sister<U+2019>s passport",2021-12-09 04:01:37
"52","torontosun","Canada joins allies in diplomatic boycott of Winter Games",2021-12-09 04:01:37
"53","vancouversun","After devastating B.C. floods, business owners have new worry: Thieves",2021-12-09 04:01:37
"54","montrealgazette","Availability of rapid COVID tests crucial for Christmas period, expert says",2021-12-09 04:01:37
"55","nzherald","Live: 103 cases; new Chch, <U+014C>p<U+014D>tiki, Akl care home worker infections",2021-12-09 04:01:37
"56","waikato","
    
        Covid-19: Locations of interest - Dec 9
    
",2021-12-09 04:01:37
"57","businessreview","
          
Government settles kiwifruit negligence claim
        ",2021-12-09 04:01:37
"58","gisborneherald","Pharmac is failing us",2021-12-09 04:01:37
"59","dominionpost","
    
    
        
",2021-12-09 04:01:37
"60","thepress","
    
        New campus for booming student numbers in one of NZ's fastest-growing towns
    
",2021-12-09 04:01:37
"61","guardian","Australia v England first Test, day two <U+2013> live!",2021-12-09 04:01:37
"62","times","Grand fromage!",2021-12-09 04:01:37
"63","dailymail","Top Tory tells Boris Johnson he must RESIGN if he misled the Parliament over No10 party - as backbench rebellion grows over PM's handling of the fiasco and new Plan B rules that bring back WFH, more masks and Covid passports<U+00A0>",2021-12-09 04:01:37
"64","independent","Johnson<U+2019>s apology: sorry, not sorry, nothing to do with me",2021-12-09 04:01:37
