"","name","value","time"
"1","guardian","UK government spokesperson resigns after No 10 Christmas party video",2021-12-09 00:01:58
"2","times","Jacking it in",2021-12-09 00:01:58
"3","dailymail","Thursday, Dec 9th 2021",2021-12-09 00:01:58
"4","independent","There is no evidence whatsoever that the PM <U+2018>shares your anger<U+2019>",2021-12-09 00:01:58
"5","mirror","Covid Plan B IN FULL: Everything you can and can't do under new rules brought in to fight Omicron in England - and when they change",2021-12-09 00:01:58
"6","telegraph","
CHRISTMAS CHARITY APPEAL
",2021-12-09 00:01:58
"7","nytimes","NATO<U+2019>s Long Dilemma Over Ukraine: Ally, Member or Partner?",2021-12-09 00:01:58
"8","wsj","Pfizer Says Booster Neutralized Omicron Strain in Testing",2021-12-09 00:01:58
"9","usatoday","13 states have a tax on groceries. With inflation spiking, is it time to rethink that?",2021-12-09 00:01:58
"10","washingtonpost","The uninsured are eager for Congress to fill a coverage gap <U+2014> even for a few years",2021-12-09 00:01:58
"11","latimes","A bittersweet escape for Afghans from a music school gone silent",2021-12-09 00:01:58
"12","tampabay","Retired Tampa cop shot by Hillsborough deputy was hard of hearing, neighbor says",2021-12-09 00:01:58
"13","heraldsun","Win your share of $10,000",2021-12-09 00:01:58
"14","dailytelegraph","Podcast: Today<U+2019>s Tele headlines",2021-12-09 00:01:58
"15","financialreview","RBA considers an eAUD for the retail market",2021-12-09 00:01:58
"16","couriermail","Australia<U+2019>s vaccination progress",2021-12-09 00:01:58
"17","westaustralian","The West Australianexclusive<U+2018>Predator<U+2019> go-kart coach allowed to stay in sport",2021-12-09 00:01:58
"18","advertiser","Daily quiz: Can you outwit The Shark?",2021-12-09 00:01:58
"19","globeandmail"," Canada joins allies in diplomatic boycott of Beijing Winter Olympics ",2021-12-09 00:01:58
"20","thestar","Route of Yonge Street subway extension moved after residents complain",2021-12-09 00:01:58
"21","nationalpost","<U+2018>Facial mismatch<U+2019>: U.S. Customs stops unvaccinated woman at Canadian border with sister<U+2019>s passport",2021-12-09 00:01:58
"22","torontosun","Canada joins allies in diplomatic boycott of Winter Games",2021-12-09 00:01:58
"23","vancouversun","B.C. reaches forfeiture agreement in alleged $220-million-a-year money laundering scheme",2021-12-09 00:01:58
"24","montrealgazette","Availability of rapid tests crucial for Christmas period, expert says",2021-12-09 00:01:58
"25","nzherald","Live: Future tobacco sales banned to teens, PM on anti-vax GP",2021-12-09 00:01:58
"26","waikato","
    
        Cop shooter jailed for seven years, eight months
    
",2021-12-09 00:01:58
"27","businessreview","
    
      Simon Bridges<U+2019> next best thing
    
  ",2021-12-09 00:01:58
"28","gisborneherald","Eastland Port's electric water truck a New Zealand first",2021-12-09 00:01:58
"29","dominionpost","
    
        Wellington Phoenix men to sign Mexican Gael Sandoval on loan, coach confirms
    
",2021-12-09 00:01:58
"30","thepress","
    
        Eco-friendly timber walls could replace steel or concrete, research finds
    
",2021-12-09 00:01:58
"31","guardian","Covid: Met police will not investigate No 10 Christmas party allegations",2021-12-09 00:01:58
