"","name","value","time"
"1","guardian","Covid debacle at No10 threatens efforts to control pandemic, say scientists",2021-12-09 08:01:21
"2","times","Holbein of crime",2021-12-09 08:01:21
"3","dailymail","Thursday, Dec 9th 2021",2021-12-09 08:01:21
"4","independent","There is no evidence whatsoever that the PM <U+2018>shares your anger<U+2019>",2021-12-09 08:01:21
"5","mirror","Plan B for us... Plan 'lie, lie, lie' for him: Boris Johnson facing mounting fury as he brings in Plan B rules while dodging flak for Christmas party",2021-12-09 08:01:21
"6","telegraph","
CHRISTMAS CHARITY APPEAL
",2021-12-09 08:01:21
"7","nytimes","More Than 200 Million Americans Are Fully Vaccinated",2021-12-09 08:01:21
"8","wsj","Pfizer Says Booster Neutralized Omicron Strain in Testing",2021-12-09 08:01:21
"9","usatoday","13 states have a tax on groceries. With inflation spiking, is it time to rethink that?",2021-12-09 08:01:21
"10","washingtonpost","Heiress who is largest known funder of Jan. 6 rally may face public scrutiny",2021-12-09 08:01:21
"11","latimes","This tiny city wants to become the Amsterdam of the far West <U+2014> and Jay-Z seems to approve",2021-12-09 08:01:21
"12","tampabay","Family, friends gather to remember Largo woman found dead in New Port Richey",2021-12-09 08:01:21
"13","heraldsun","Get our free Ashes newsletter",2021-12-09 08:01:21
"14","dailytelegraph","Podcast: Today<U+2019>s Tele headlines",2021-12-09 08:01:21
"15","financialreview","Luxury suburb prices hit as auction record looms",2021-12-09 08:01:21
"16","couriermail","Australia<U+2019>s vaccination progress",2021-12-09 08:01:21
"17","westaustralian","Fears for father-of-three missing near South West fire scene",2021-12-09 08:01:21
"18","advertiser","AN0M: Who<U+2019>s next on the hit list",2021-12-09 08:01:21
"19","globeandmail"," Canada faces growing global criticism of its African travel bans  ",2021-12-09 08:01:21
"20","thestar","Kickbacks. Unauthorized searches. An arson conspiracy: Police documents detail Toronto cop<U+2019>s alleged role in GTA tow truck corruption",2021-12-09 08:01:21
"21","nationalpost","Woman dead after daring rescue attempt from car spotted floating at edge of Niagara Falls",2021-12-09 08:01:21
"22","torontosun","MANDEL: 'Completely incorrigible' driver back behind bars",2021-12-09 08:01:21
"23","vancouversun","Vaughn Palmer: 'Never-ending' uncertainty replaces premature COVID-19 victory laps in B.C.",2021-12-09 08:01:21
"24","montrealgazette","Legault insists another inquiry into CHSLD tragedy is not necessary",2021-12-09 08:01:21
"25","nzherald","Covid-19: Why do fully vaxxed people show up in daily cases?",2021-12-09 08:01:21
"26","waikato","
    
        Covid-19: Locations of interest <U+2013> Dec 9
    
",2021-12-09 08:01:21
"27","businessreview","
    
      Funder<U+2019>s costs and fees reduce $40m kiwifruit settlement by $15m
    
  ",2021-12-09 08:01:21
"28","gisborneherald","
                        Awapuni mural tells story of mana whenua",2021-12-09 08:01:21
"29","dominionpost","
    
        Government announces review of how it funds screen sector
    
",2021-12-09 08:01:21
"30","thepress","
    
        Canterbury leads the country with 97 per cent single-dose vaccinated
    
",2021-12-09 08:01:21
"31","guardian","57 countries have cases but too early to tell if more infectious, WHO says",2021-12-09 08:01:21
"32","times","Deborah Ross",2021-12-09 08:01:21
"33","dailymail","-1<U+00B0>C",2021-12-09 08:01:21
"34","independent","I gave birth alone while Downing Street partied",2021-12-09 08:01:21
"35","mirror","Queen's Palace staff in 'utter dismay' at Downing Street Christmas party scandal",2021-12-09 08:01:21
"36","telegraph","
SIGN UP: FILM NEWSLETTER
",2021-12-09 08:01:21
"37","nytimes","Schools Are Going Online on Fridays. Parents Are Furious.",2021-12-09 08:01:21
"38","wsj","Beijing Reins In China<U+2019>s Central Bank",2021-12-09 08:01:21
"39","usatoday","Judicial board: Astroworld lawsuits consolidated, will be handled by one judge",2021-12-09 08:01:21
"40","washingtonpost","Senate votes to repeal key Biden administration vaccine and testing policy",2021-12-09 08:01:21
"41","latimes","Garcetti<U+2019>s Senate committee nomination hearing scheduled for Tuesday",2021-12-09 08:01:21
"42","tampabay","Retired Tampa cop shot by Hillsborough deputy was hard of hearing, neighbor says",2021-12-09 08:01:21
"43","heraldsun","Nominate for Vic<U+2019>s best Christmas lights",2021-12-09 08:01:21
"44","dailytelegraph","Our say: West<U+2019>s stadium of dreams",2021-12-09 08:01:21
"45","financialreview","Home buying intentions slump in November",2021-12-09 08:01:21
"46","couriermail","Peter Foster<U+2019>s luxurious hide-out",2021-12-09 08:01:21
"47","westaustralian","AMA<U+2019>s circumcision warning to parents after toddler death",2021-12-09 08:01:21
"48","advertiser","Brightest stars of the night",2021-12-09 08:01:21
"49","globeandmail"," Number of surgeries performed in Canada fell more than half a million during pandemic, report says ",2021-12-09 08:01:21
"50","thestar","<U+2018>Wrong side of history<U+2019>: Is Jagmeet Singh<U+2019>s stance on pipelines splitting the NDP?",2021-12-09 08:01:21
"51","nationalpost","<U+2018>Facial mismatch<U+2019>: U.S. Customs stops unvaccinated woman at Canadian border with sister<U+2019>s passport",2021-12-09 08:01:21
"52","torontosun","Canada joins allies in diplomatic boycott of Winter Games",2021-12-09 08:01:21
"53","vancouversun","B.C. forests minister 'knocked to the ground' while walking home from legislature",2021-12-09 08:01:21
"54","montrealgazette","Availability of rapid COVID tests crucial for Christmas period, expert says",2021-12-09 08:01:21
"55","nzherald","Controversial Three Waters reforms delayed until next year",2021-12-09 08:01:21
"56","waikato","
    
        Council moves to 'formally denounce' own chairman over race row comments
    
",2021-12-09 08:01:21
"57","businessreview","
          
Government settles kiwifruit negligence claim
        ",2021-12-09 08:01:21
"58","gisborneherald","Pharmac is failing us",2021-12-09 08:01:21
"59","dominionpost","
    
    
        
",2021-12-09 08:01:21
"60","thepress","
    
        Police investigate as concerns about doctor filmed giving vaccine exemptions escalate
    
",2021-12-09 08:01:21
"61","guardian","Australia v England first Test, day two <U+2013> live!",2021-12-09 08:01:21
"62","times","Grand fromage!",2021-12-09 08:01:21
"63","dailymail","0<U+00B0>C",2021-12-09 08:01:21
"64","independent","Johnson<U+2019>s apology: sorry, not sorry, nothing to do with me",2021-12-09 08:01:21
"65","mirror","Jennifer Aniston hits back at people who assume she chose career over kids",2021-12-09 08:01:21
"66","telegraph","
WATCH: TONIGHT'S TV
",2021-12-09 08:01:21
"67","nytimes","In a largely symbolic action, the Senate voted to scrap President Biden<U+2019>s vaccine mandate for large employers.",2021-12-09 08:01:21
"68","wsj","Defense Rests Its Case in Trial of Theranos Founder Elizabeth Holmes",2021-12-09 08:01:21
"69","usatoday","Do you have symptoms of the flu or COVID-19? Here's how to tell the difference.",2021-12-09 08:01:21
"70","washingtonpost","The industries where workers quit the most",2021-12-09 08:01:21
"71","latimes","<U+2018>Brazen assault in the middle of the day<U+2019> leaves a boy dead, a neighborhood shaken",2021-12-09 08:01:21
"72","tampabay","Ethics panel finds that Nikki Fried may have violated Florida disclosure laws",2021-12-09 08:01:21
"73","heraldsun","Hear the latest headlines",2021-12-09 08:01:21
"74","dailytelegraph","SuperCoach 2022 positions revealed",2021-12-09 08:01:21
"75","financialreview","This film producer just sold her $30m Sydney trophy home in one week",2021-12-09 08:01:21
"76","couriermail","Mum<U+2019>s invention in every Bunnings",2021-12-09 08:01:21
"77","westaustralian","McGowan blasts ScoMo<U+2019>s China Olympics boycott",2021-12-09 08:01:21
"78","advertiser","SA<U+2019>s best Christmas lights map",2021-12-09 08:01:21
"79","globeandmail"," PEI potato farmers struggling as exports to the U.S. remain banned ",2021-12-09 08:01:21
"80","thestar","With Donald Trump<U+2019>s <U+2018>next coup<U+2019> underway, it<U+2019>s a bit rich for the the United States to be holding a democracy summit",2021-12-09 08:01:21
"81","nationalpost","Car thieves have a new way to track your car and steal it from your driveway",2021-12-09 08:01:21
"82","torontosun","CFL suspends Argos VP John Murphy indefinitely",2021-12-09 08:01:21
"83","vancouversun","After devastating B.C. floods, business owners have new worry: Thieves",2021-12-09 08:01:21
"84","montrealgazette","Alzheimer's patients should be able to seek medically assisted death: Quebec committee",2021-12-09 08:01:21
"85","nzherald","'Industrial scale': Key player in $4.2m cannabis growing syndicate jailed",2021-12-09 08:01:21
"86","waikato","
    
        Person critical after crash near Thames
    
",2021-12-09 08:01:21
"87","businessreview","
          
Supreme Court grants leave to appeal in kiwifruit case
        ",2021-12-09 08:01:21
"88","gisborneherald","Our <U+2018>all-time most stupid<U+2019> webpoll . . .",2021-12-09 08:01:21
"89","dominionpost","
    
        Sex self-identification law passes
    
",2021-12-09 08:01:21
"90","thepress","
    
        Covid-19: Locations of interest <U+2013> Dec 9
    
",2021-12-09 08:01:21
"91","guardian","New Zealand to ban smoking for next generation in bid to outlaw habit by 2025",2021-12-09 08:01:21
"92","times","Spurs match off",2021-12-09 08:01:21
"93","dailymail","Top Tory tells Boris Johnson he must RESIGN if he misled the Parliament over No10 party - as backbench rebellion grows over PM's handling of the fiasco and new Plan B rules that bring back WFH, more masks and Covid passports<U+00A0>",2021-12-09 08:01:21
"94","independent","Boris Johnson announces plan B to crack down on omicron spread as work from home guidance returns",2021-12-09 08:01:21
"95","mirror","Champions League draw: Who Liverpool, Man City, Man Utd and Chelsea can face in last-16VIDEO",2021-12-09 08:01:21
"96","telegraph","

Don<U+2019>t go to work, but do go to parties, says Boris Johnson

",2021-12-09 08:01:21
"97","nytimes","The coronavirus attacks fat cells and certain immune cells within body fat, according to new research.",2021-12-09 08:01:21
"98","wsj","Crypto Executives Defend Industry as Congress Considers Oversight",2021-12-09 08:01:21
"99","usatoday","26 states plan to ban abortion in some form. Here's who is most at risk.",2021-12-09 08:01:21
"100","washingtonpost","Russian military movements near Ukraine: What satellite images show",2021-12-09 08:01:21
"101","latimes","Supreme Court leans in favor of requiring taxpayer funding for some religious schools",2021-12-09 08:01:21
"102","tampabay","Tampa mayor says she<U+2019>s working to create a Rays stadium financial plan",2021-12-09 08:01:21
"103","heraldsun","Head erupts as Aussies demolish broken England",2021-12-09 08:01:21
"104","dailytelegraph","Kyle takes cops to court after gun licence refusal",2021-12-09 08:01:21
"105","financialreview","Investors pile into market as first home buyer mortgages blow out",2021-12-09 08:01:21
"106","couriermail","<U+2018>You<U+2019>ve got to go!<U+2019>: How security guard saved girl from stolen car inferno",2021-12-09 08:01:21
"107","westaustralian","Grandmother brutally bashed on way to COVID clinic",2021-12-09 08:01:21
"108","advertiser","One too many times: Banned addiction counsellor jailed",2021-12-09 08:01:21
"109","globeandmail"," PEI Premier calls on federal government to lift the ban on exports of crops to U.S.  Subscriber content  ",2021-12-09 08:01:21
"110","thestar","House of Commons finishes review of vaccination exemptions for MPs",2021-12-09 08:01:21
"111","nationalpost","Frustrated in efforts to end smoking, New Zealand plans lifetime ban on cigarette sales",2021-12-09 08:01:21
"112","torontosun","Trial of actor Jussie Smollett, accused of faking hate crime, goes to jury",2021-12-09 08:01:21
"113","vancouversun","Drug charges stayed against Abbotsford man who was a fugitive for years",2021-12-09 08:01:21
"114","montrealgazette","Three major daycare unions reach deals in principle with Quebec",2021-12-09 08:01:21
"115","nzherald","A $3000 bill: David Seymour on his biggest mistake of 2021",2021-12-09 08:01:21
"116","waikato","
    
        Supermarket heavyweights look to expand in growing Taup<U+014D>
    
",2021-12-09 08:01:21
"117","businessreview","
          
NBR Today: A quick take on today<U+2019>s stories
        ",2021-12-09 08:01:21
"118","gisborneherald","
                        Patupaiarehe in Ruatorea",2021-12-09 08:01:21
"119","dominionpost","
    
        Victoria University confirms vaccine mandates on campus
    
",2021-12-09 08:01:21
"120","thepress","
    
        Man caught with child exploitation images avoids prison sentence
    
",2021-12-09 08:01:21
"121","guardian","Number of journalists in jail around the world at new high, says survey",2021-12-09 08:01:21
"122","times","PM orders return to working from home",2021-12-09 08:01:21
"123","dailymail","Boris Johnson raises the spectre of mandatory Covid jabs: PM hints of move towards increasing restrictions for unjabbed Britons so wider lockdowns can be avoided as he rolls out Plan B",2021-12-09 08:01:21
"124","independent","PM faces pressure from own side as Covid party row claims scalp of top aide Allegra Stratton
",2021-12-09 08:01:21
"125","mirror","Covid Plan B IN FULL: Everything you can and can't do under new rules brought in to fight Omicron in England - and when they change",2021-12-09 08:01:21
"126","telegraph","

Boris Johnson calls for <U+2018>national conversation' about mandatory vaccines to protect UK

",2021-12-09 08:01:21
"127","nytimes","Pfizer Says Its Booster Offers Strong Protection Against Omicron",2021-12-09 08:01:21
"128","wsj","Why Washington Won<U+2019>t Fix Student Debt Plans That Overload Families",2021-12-09 08:01:21
"129","usatoday","Delta drives surge in US cases before omicron gains foothold: COVID-19 updates",2021-12-09 08:01:21
"130","washingtonpost","U.S. accuses El Salvador of cutting secret deal with MS-13 to tamp down killings",2021-12-09 08:01:21
"131","latimes","Hiltzik: Legendary investment guru Peter Lynch says move to index funds is a <U+2018>mistake.<U+2019> He<U+2019>s wrong",2021-12-09 08:01:21
"132","tampabay","Philanthropist, Publix heiress Carol Jenkins Barnett dies at 65",2021-12-09 08:01:21
"133","heraldsun","Accused cop killer was <U+2018>unfit to drive<U+2019>, court hears",2021-12-09 08:01:21
"134","dailytelegraph","Our verdict: 2021 report card for NSW Government",2021-12-09 08:01:21
"135","financialreview","Payments veteran warns buy now, pay later faces more pain in 2022",2021-12-09 08:01:21
"136","couriermail","<U+2018>Memories I<U+2019>ll never shake<U+2019>: Mum relives daring rescue that saved daughter<U+2019>s life",2021-12-09 08:01:21
"137","westaustralian","Harsher restrictions to be placed on the unvaxxed",2021-12-09 08:01:21
"138","advertiser","Huge reward offered over brutal drug debt murders",2021-12-09 08:01:21
"139","globeandmail"," PEI farmers warn of devastation after Canada halts fresh potato exports to U.S. due to fungus outbreak  Subscriber content  ",2021-12-09 08:01:21
"140","thestar","Own a Toyota or Honda? New insurance data shows soaring theft rates",2021-12-09 08:01:21
"141","nationalpost","Terry Glavin: Biden's summit isn't up to the task of stopping democracy's global decline",2021-12-09 08:01:21
"142","torontosun","HUNTER: Ghislaine Maxwell and Jussie Smollett trials share hubris",2021-12-09 08:01:21
"143","vancouversun","Dan Fumano: Vancouver's 2022 budget debate will continue until the election",2021-12-09 08:01:21
"144","montrealgazette","Teacher removed from post in Quebec elementary school for wearing a hijab",2021-12-09 08:01:21
"145","nzherald","Fullers unveils electric ferry for Devonport run, wider EV plans",2021-12-09 08:01:21
"146","waikato","
    
        Cop shooter jailed for seven years, eight months
    
",2021-12-09 08:01:21
"147","businessreview","
          
NBR's Maria Slade takes out overall winner in business journalism awards
        ",2021-12-09 08:01:21
"148","gisborneherald"," Captivated by the ocean",2021-12-09 08:01:21
"149","dominionpost","
    
        Hinewehi Mohi honoured as Dame Companion of New Zealand Order of Merit
    
",2021-12-09 08:01:21
"150","thepress","
    
        National leader Christopher Luxon visits schools as party attempts to woo back voters
    
",2021-12-09 08:01:21
"151","guardian","Woman<U+2019>s body pulled from submerged car at edge of falls",2021-12-09 08:01:21
"152","times","Wine, gifts, quizzes . . . and the mother of all hangovers",2021-12-09 08:01:21
"153","dailymail","Were there SIX parties in Downing Street and Whitehall? Claims of a festive quiz, Friday wine sessions and a bash to celebrate Dominic Cummings' exit put even more pressure on under-fire Boris Johnson<U+00A0>",2021-12-09 08:01:21
"154","independent","Ashes: David Warner falls short of century as England fight back on day 2 of 1st Test",2021-12-09 08:01:21
"155","mirror","'Raucous' party held at Tory HQ amid Covid restrictions days before No10 bash",2021-12-09 08:01:21
"156","telegraph","

Boris Johnson may not recover from this double Covid catastrophe

",2021-12-09 08:01:21
"157","nytimes","As Covid Deaths Rise, Lingering Grief Gets a New Name",2021-12-09 08:01:21
"158","wsj","Instagram, Other Social-Media Apps Need Stricter Regulation, Senators Say",2021-12-09 08:01:21
"159","usatoday","'Free pass to seize': Court upholds conviction in mass surveillance case",2021-12-09 08:01:21
"160","washingtonpost","Transgender people can<U+2019>t be baptized unless they<U+2019>ve <U+2018>repented,<U+2019> Catholic diocese in Michigan says",2021-12-09 08:01:21
"161","latimes","California attorney general to investigate Torrance police after racist text scandal",2021-12-09 08:01:21
"162","tampabay","Tampa ranks 10th on list of hot real estate markets in U.S.",2021-12-09 08:01:21
"163","heraldsun","Crazy Covid rules to ensure star BBL import<U+2019>s debut",2021-12-09 08:01:21
"164","dailytelegraph","Inside alleged murder of OneFour gang associate",2021-12-09 08:01:21
"165","financialreview","Hostplus to hit $100b as failing funds pushed out of super system",2021-12-09 08:01:21
"166","couriermail","Head erupts as Aussies demolish broken England",2021-12-09 08:01:21
"167","westaustralian","Aerial support sent in to fight raging Margaret River fires",2021-12-09 08:01:21
"168","advertiser","Ranked by riches: SA<U+2019>s 30 largest private companies",2021-12-09 08:01:21
"169","globeandmail"," Food prices set to rise further, marking highest increase in more than a decade  Subscriber content  ",2021-12-09 08:01:21
"170","thestar","Coast Guard swimmer pulls body from car above Niagara Falls",2021-12-09 08:01:21
"171","nationalpost","Rex Murphy: Toronto school board takes lunacy to a whole new level",2021-12-09 08:01:21
"172","torontosun","LILLEY: Gangsters, guns and CERB a real headache for Trudeau Liberals",2021-12-09 08:01:21
"173","vancouversun","COVID-19 update for Dec. 8: 379 new cases, six deaths | Indigenous papal visit postponed to 2022 due to Omicron variant | Canadians support strong border measures: poll",2021-12-09 08:01:21
"174","montrealgazette","COVID-19 updates, Dec. 8: Quebec has now identified five Omicron variant cases",2021-12-09 08:01:21
"175","nzherald","Market close: Investors take a breather as eyes turn to US inflation rate",2021-12-09 08:01:21
"176","waikato","
    
        Next step in fix for one of the diciest intersections in the country
    
",2021-12-09 08:01:21
"177","businessreview","
          
Opposition to fair pay agreements hardens but govt not backing down
        ",2021-12-09 08:01:21
"178","gisborneherald"," School's out",2021-12-09 08:01:21
"179","dominionpost","
    
        Time frame set to strengthen carillon at Wellington's national war memorial
    
",2021-12-09 08:01:21
"180","thepress","
    
        Land for new Christchurch stadium to be named Te Kaharoa
    
",2021-12-09 08:01:21
"181","guardian","Women in prison ignored by feminist funders, says NGO head",2021-12-09 08:01:21
"182","times","I resigned from my own dance company after I was accused of transphobia",2021-12-09 08:01:21
"183","dailymail","STEPHEN GLOVER: As Boris Johnson's many enemies rejoice, I feel a deepening despair. Why does he keep shooting himself in the foot?",2021-12-09 08:01:21
"184","independent","Maxwell and Epstein pictured lounging at Queen<U+2019>s Balmoral cabin",2021-12-09 08:01:21
"185","mirror","Parents 'sickened' after catching 'creep' talking to their baby through camera",2021-12-09 08:01:21
"186","telegraph","

Fraser Nelson
Would we rise up against another lockdown?

",2021-12-09 08:01:21
"187","nytimes","World Is Unprepared for the Next Pandemic, Report Says",2021-12-09 08:01:21
"188","wsj","Justice Department Told Deutsche Bank Lender May Have Violated Criminal Settlement",2021-12-09 08:01:21
"189","usatoday","Teen girls got $100 bills at Epstein estate, Maxwell witness testifies",2021-12-09 08:01:21
"190","washingtonpost","Greg Tate showed me what being a writer in America could mean",2021-12-09 08:01:21
"191","latimes","L.A. County records fifth Omicron variant case, possibly the result of community spread",2021-12-09 08:01:21
"192","tampabay","Tampa woman just driving in wrong place, family says, when she was shot dead",2021-12-09 08:01:21
"193","heraldsun","Eddie<U+2019>s MP brother unleashes on Labor rivals",2021-12-09 08:01:21
"194","dailytelegraph","Eels strike back in NRL transfer merry-go-round",2021-12-09 08:01:21
"195","financialreview","ASX fades late, dipping 0.3pc to end a four-day rally",2021-12-09 08:01:21
"196","couriermail","<U+2018>Like an avalanche<U+2019>: Moment wall of water swept woman to her death",2021-12-09 08:01:21
"197","westaustralian","<U+2018>Racist<U+2019> Perth driver jailed for mowing down teen",2021-12-09 08:01:21
"198","advertiser","When restrictions may be eased <U+2013> plus good news for travellers",2021-12-09 08:01:21
"199","globeandmail"," Food inflation is the next big threat to Canadians<U+2019> finances  Subscriber content  ",2021-12-09 08:01:21
"200","thestar","MPs will probe government efforts to help Afghan refugees",2021-12-09 08:01:21
"201","nationalpost","Toronto school trustee faces potential censure after calling out anti-Semitic material in teaching manuals",2021-12-09 08:01:21
"202","torontosun","Vancouver woman badly beaten in Mexico <U+2014><U+00A0>allegedly by another Canadian",2021-12-09 08:01:21
"203","vancouversun","B.C. giving $1 million to wildfire-ravaged Lytton to help with recovery",2021-12-09 08:01:21
"204","montrealgazette","Opposition councillor's motion seeks answers for low voter turnout",2021-12-09 08:01:21
"205","nzherald","As Covid deaths rise, lingering grief gets a new name",2021-12-09 08:01:21
"206","waikato","
    
        Rosey ending to gardens drama
    
",2021-12-09 08:01:21
"207","businessreview","
          
Reserve Bank warns on stress for home buyers as interest rates rise
        ",2021-12-09 08:01:21
"208","gisborneherald","R&V Postponed",2021-12-09 08:01:21
"209","dominionpost","
    
        Long road ahead for Te Horo Beach clean-up after 'extremely high rainfall'
    
",2021-12-09 08:01:21
"210","thepress","
    
        Christchurch joins push for alternative water reform model
    
",2021-12-09 08:01:21
"211","guardian","Anti-independence ads accused of <U+2018>profound racism<U+2019> in court action",2021-12-09 08:01:21
"212","times","Tories held raucous second party",2021-12-09 08:01:21
"213","dailymail","Find the video mole! As crisis over Tory Christmas party deepens, fingers are pointed at PR firm that filmed damning footage... and even No10 insiders sent it on email<U+00A0>",2021-12-09 08:01:21
"214","independent","Three Hong Kong activists convicted over Tiananmen vigil",2021-12-09 08:01:21
"215","mirror","Matalan among 200 employers named and shamed for not paying the minimum wage",2021-12-09 08:01:21
"216","telegraph","

What Covid Plan B means for you: work from home, vaccine passports and extended mask mandate

",2021-12-09 08:01:21
"217","nytimes","With Johnson Under Fire, Britain Introduces Tougher Covid Measures",2021-12-09 08:01:21
"218","wsj","U.K. and Canada Join Olympics Boycott3 min read",2021-12-09 08:01:21
"219","usatoday","Is math racist? How subject<U+2019>s teaching could drastically change",2021-12-09 08:01:21
"220","washingtonpost","The uninsured are eager for Congress to fill a coverage gap <U+2014> even for a few years",2021-12-09 08:01:21
"221","latimes","Father and son arrested on suspicion of starting Caldor fire near Lake Tahoe",2021-12-09 08:01:21
