"","name","value","time"
"1","guardian","UK government spokesperson resigns after No 10 Christmas party video",2021-12-08 19:20:08
"2","times","Jacking it in",2021-12-08 19:20:08
"3","dailymail","Wednesday, Dec 8th 2021",2021-12-08 19:20:08
"4","independent","There is no evidence whatsoever that the PM ‘shares your anger’",2021-12-08 19:20:08
"5","mirror","WATCH LIVE: Boris Johnson brings in Plan B with people forced to work from home from Monday and show vaccine passports in clubs and at football grounds",2021-12-08 19:20:08
"6","telegraph","
CHRISTMAS CHARITY APPEAL
",2021-12-08 19:20:08
"7","nytimes","Pfizer-BioNTech Says Booster Offers Significant Protection Against Omicron",2021-12-08 19:20:08
"8","wsj","Pfizer Says Booster Neutralized Omicron Strain in Testing",2021-12-08 19:20:08
"9","usatoday","26 states plan to ban abortion in some form. Here's who is most at risk.",2021-12-08 19:20:08
"10","washingtonpost","Biden to sign order to make government carbon neutral by 2050",2021-12-08 19:20:08
"11","latimes","A bittersweet escape for Afghans from a music school gone silent",2021-12-08 19:20:08
"12","tampabay","Over 500 graves might be on Clearwater company’s land. Is city responsible? ",2021-12-08 19:20:08
"13","heraldsun","Get our free Ashes newsletter",2021-12-08 19:20:08
"14","dailytelegraph","Podcast: Today’s Tele headlines",2021-12-08 19:20:08
"15","financialreview","Afterpay fees may be passed on to shoppers",2021-12-08 19:20:08
"16","couriermail","Australia’s vaccination progress",2021-12-08 19:20:08
"17","westaustralian","The West Australianexclusive‘Predator’ go-kart coach allowed to stay in sport",2021-12-08 19:20:08
"18","advertiser","New weapon in our arsenal",2021-12-08 19:20:08
"19","globeandmail"," Canada joins allies in diplomatic boycott of Beijing Winter Olympics ",2021-12-08 19:20:08
"20","thestar","Justin Trudeau announces diplomatic boycott of Beijing Olympics",2021-12-08 19:20:08
"21","nationalpost","Furor: Finland’s 36-year-old PM goes clubbing despite exposure to COVID case",2021-12-08 19:20:08
"22","torontosun","Two years into this pandemic, the world is dangerously unprepared for the next one, report says",2021-12-08 19:20:08
"23","vancouversun","B.C. reaches forfeiture agreement in alleged $220-million-a-year money laundering scheme",2021-12-08 19:20:08
"24","montrealgazette","COVID-19 live updates: Quebec reports 1,367 new cases, 2 more deaths",2021-12-08 19:20:08
