"","name","value","time"
"1","guardian","On the Ukraine frontline as tensions rise",2021-12-10 20:01:28
"2","times","Giles Coren",2021-12-10 20:01:28
"3","dailymail","Friday, Dec 10th 2021",2021-12-10 20:01:28
"4","independent","Westminster whispers suggest the PM is on probation",2021-12-10 20:01:28
"5","mirror","Covid Plan C explained: The tough new restrictions Boris Johnson could impose to tackle Omicron as new variant rips through UK",2021-12-10 20:01:28
"6","telegraph","
CHRISTMAS CHARITY APPEAL
",2021-12-10 20:01:28
"7","nytimes","Supreme Court Allows Challenge to Texas Abortion Law but Leaves It in Effect",2021-12-10 20:01:28
"8","wsj","Abortion Clinics Can Challenge Texas Law, High Court Rules",2021-12-10 20:01:28
"9","usatoday","Surfside rescuers heard her but couldn't save her. Officials buried her story",2021-12-10 20:01:28
"10","washingtonpost","Supreme<U+00A0>Court lets challenge to Texas abortion law proceed, leaves ban in effect",2021-12-10 20:01:28
"11","latimes","He wants to replace the Golden Globes, but critics group leader faces scrutiny",2021-12-10 20:01:28
"12","tampabay","UF will investigate allegations of pressure to destroy COVID-19 data",2021-12-10 20:01:28
"13","heraldsun","2022 AFL fixture poster",2021-12-10 20:01:28
"14","dailytelegraph","Podcast: Today<U+2019>s Tele headlines",2021-12-10 20:01:28
"15","financialreview","Business investment surge will drive economy: Frydenberg",2021-12-10 20:01:28
"16","couriermail","Australia<U+2019>s vaccination progress",2021-12-10 20:01:28
"17","westaustralian","The West AustralianexclusiveWA power couple confirm marriage split",2021-12-10 20:01:28
"18","advertiser","No more coal power by 2043",2021-12-10 20:01:28
"19","globeandmail"," B.C.<U+2019>s Lower Post residential school<U+2019>s story starts with abuse and ends in fire <U+2013> but keeps pointing toward justice ",2021-12-10 20:01:28
"20","thestar","Millions of Ontarians will need a third COVID vaccine this month. Can we ramp up capacity like in the summer?",2021-12-10 20:01:28
"21","nationalpost","World population forecast to decline for the first time in centuries",2021-12-10 20:01:28
"22","torontosun","Oakville restaurant's liquor licence suspended over alleged COVID violations",2021-12-10 20:01:28
"23","vancouversun","Daphne Bramham: The absurd and disturbing tragedy of Romana Didulo",2021-12-10 20:01:28
"24","montrealgazette","COVID live updates: Get tested for Omicron if you visited a Kirkland gym or LaSalle community centre, public health says<U+00A0>",2021-12-10 20:01:28
"25","nzherald","'You can't have a heroine without a tragedy': Kiwi teen's legacy after death",2021-12-10 20:01:28
"26","waikato","
    
        Obituary: Stephen Paul Stratford, 1953-2021
    
",2021-12-10 20:01:28
"27","businessreview","
    
      Covid spin, new National, fair pay politics and tobacco up in smoke
    
  ",2021-12-10 20:01:28
"28","gisborneherald"," Beach debris <U+2018>shocking<U+2019>",2021-12-10 20:01:28
"29","dominionpost","
    
        Don't count on politics returning to normal in 2022
    
",2021-12-10 20:01:28
"30","thepress","
    
        More campgrounds ban unvaccinated campers but experts fear a summer spread
    
",2021-12-10 20:01:28
"31","guardian","Missing Rio boys tortured and killed for stealing bird, say police",2021-12-10 20:01:28
