"","name","value","time"
"1","guardian","Surge in hospitalisations <U+2018>nailed-on<U+2019>, as UK cases at record high",2021-12-16 00:01:32
"2","times","Clare Balding",2021-12-16 00:01:32
"3","dailymail","Thursday, Dec 16th 2021",2021-12-16 00:01:32
"4","independent","No 10 press conference smashed all records for depressiveness",2021-12-16 00:01:32
"5","mirror","RECORD HIGH: The UK's top Covid hotspots as infections rise by 60% and the country records the highest daily virus cases seen during the pandemic ",2021-12-16 00:01:32
"6","telegraph","
CHRISTMAS CHARITY APPEAL
",2021-12-16 00:01:32
"7","nytimes","Fed Sees 3 Rate Increases in 2022; Slows Stimulus as Prices Rise",2021-12-16 00:01:32
"8","wsj","Fed Officials Project Three Rate Increases Next Year",2021-12-16 00:01:32
"9","usatoday","Spreading 'every place at once.' What omicron could mean for holiday plans.",2021-12-16 00:01:32
"10","washingtonpost","Democrats<U+2019> spending plan in peril as Biden-Manchin talks appear to hit snag",2021-12-16 00:01:32
"11","latimes","These doctors sexually abused patients. The Medical Board gave them their licenses back",2021-12-16 00:01:32
"12","tampabay","Former Jaguars kicker Josh Lambo says he was kicked by Urban Meyer during warmups",2021-12-16 00:01:32
"13","heraldsun","Great $50k ticket giveaway",2021-12-16 00:01:32
"14","dailytelegraph","Super Sydney weekend giveaway",2021-12-16 00:01:32
"15","financialreview","ASX to rise; CBA hikes mortgage rates; Qantas loss",2021-12-16 00:01:32
"16","couriermail","Australia<U+2019>s vaccination progress",2021-12-16 00:01:32
"17","westaustralian","The West Australianexclusive$80m set aside for COVID test isolation payment",2021-12-16 00:01:32
"18","advertiser","Ali<U+2019>s win leaves ABC a big problem",2021-12-16 00:01:32
"19","globeandmail"," Canada reimposes advisory against all non-essential international travel ",2021-12-16 00:01:32
"20","thestar","Today<U+2019>s coronavirus news: Ontario re-imposes venue capacity limits, plans to offer free rapid tests, opens 18+ boosters starting Monday; Omicron doubling in Ontario every 2.2 days",2021-12-16 00:01:32
"21","nationalpost","Colby Cosh: The mystery behind Trudeau's two climate change committees",2021-12-16 00:01:32
"22","torontosun","LILLEY: Ontario to cut capacity for Leafs and Raptors games",2021-12-16 00:01:32
"23","vancouversun","COVID-19: B.C. eyes further restrictions as Omicron cases soar",2021-12-16 00:01:32
"24","montrealgazette","COVID updates, Dec. 15: As Omicron spreads, officials advise against holiday parties, international travel",2021-12-16 00:01:32
"25","nzherald","Live: Vaccine mandate protesters descend on Parliament",2021-12-16 00:01:32
"26","waikato","
    
        'Why not Waihi?' asks the cutest tourism campaign this year
    
",2021-12-16 00:01:32
"27","businessreview","
    
      Does government spending make a difference to people<U+2019>s lives?
    
  ",2021-12-16 00:01:32
"28","gisborneherald","Salvation Army ready to deliver Christmas hampers in Gisborne District",2021-12-16 00:01:32
"29","dominionpost","
    
        Live: Protest against vaccine mandates heads to Parliament
    
",2021-12-16 00:01:32
"30","thepress","
    
        'It got a bit freaky there for a bit': Roads still closed, but rain warnings ease
    
",2021-12-16 00:01:32
"31","guardian","EU to warn Vladimir Putin of <U+2018>massive consequences<U+2019> of invading",2021-12-16 00:01:32
"32","times","White-on-white",2021-12-16 00:01:32
"33","dailymail","6<U+00B0>C",2021-12-16 00:01:32
"34","independent","Starmer says PM has lost moral authority <U+2013> as if he ever had it",2021-12-16 00:01:32
"35","mirror","Katie Price breaks silence after sentencing with unexpected throwback photo",2021-12-16 00:01:32
"36","telegraph","
SIGN UP: STELLA DAILY NEWSLETTER
",2021-12-16 00:01:32
"37","nytimes","The Upshot: Why Jerome Powell Pivoted on Inflation",2021-12-16 00:01:32
