"","name","value","time"
"1","guardian","Panel recommends Trump's ex-chief of staff Mark Meadows for criminal prosecution",2021-12-14 08:01:30
"2","times","Antivaxer village",2021-12-14 08:01:30
"3","dailymail","Tuesday, Dec 14th 2021",2021-12-14 08:01:30
"4","independent","Police bill is an unprecedented assault <U+2013> Patel must be stopped",2021-12-14 08:01:30
"5","mirror","Booster vaccine questions answered - where to book and who is eligible as PM calls on volunteers to jab all adults by December 31st",2021-12-14 08:01:30
"6","telegraph","
CHRISTMAS CHARITY APPEAL
",2021-12-14 08:01:30
"7","nytimes","Jan. 6 Committee Recommends Contempt Charge for Mark Meadows",2021-12-14 08:01:30
"8","wsj","Tornado Fatalities Rise as Search Efforts Continue",2021-12-14 08:01:30
"9","usatoday","Path of deadly 5-state tornado may go down as longest ever in US",2021-12-14 08:01:30
"10","washingtonpost","Jan. 6 committee votes to hold Mark Meadows in contempt for defying subpoena",2021-12-14 08:01:30
"11","latimes","Why your holiday booze costs more this year",2021-12-14 08:01:30
"12","tampabay","Jan. 6 panel votes for contempt charges against Mark Meadows",2021-12-14 08:01:30
"13","heraldsun","Great $50k ticket giveaway",2021-12-14 08:01:30
"14","dailytelegraph","Podcast: Today<U+2019>s Tele headlines",2021-12-14 08:01:30
"15","financialreview","CSL buys Vifor Pharma in $16.4b deal",2021-12-14 08:01:30
"16","couriermail","Australia<U+2019>s vaccination progress",2021-12-14 08:01:30
"17","westaustralian","Truck drivers in WA test positive to COVID-19",2021-12-14 08:01:30
"18","advertiser","Loved-up hackers<U+2019> $18m scam",2021-12-14 08:01:30
"19","globeandmail"," What a long-forgotten B.C. RCMP task force uncovered about residential school abuses ",2021-12-14 08:01:30
"20","thestar","Kingston<U+2019>s Omicron-fuelled surge leads to strict measures <U+2014> and offers a preview",2021-12-14 08:01:30
"21","nationalpost","The Capitalist Manifesto: How many millions of people escaped poverty, lived longer and got TV",2021-12-14 08:01:30
"22","torontosun","MANDEL: Belinda Stronach wants psychiatric assessment of brother, niece",2021-12-14 08:01:30
"23","vancouversun","COVID-19: Omicron could spike infections to highest numbers B.C. has seen",2021-12-14 08:01:30
"24","montrealgazette","Legault concerned about Omicron, but no changes to measures for now",2021-12-14 08:01:30
